Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,4400.17,4407.95,4375.48,4375.48,77425600,4375.48
2014-12-05,4366.22,4422.85,4359.32,4419.48,125876600,4419.48
2014-12-04,4399.94,4427.74,4310.69,4323.89,144554000,4323.89
2014-12-03,4384.04,4405.83,4378.88,4391.86,87190000,4391.86
2014-12-02,4396.75,4422.77,4373.03,4388.30,101308700,4388.30
2014-12-01,4354.19,4383.19,4334.81,4377.33,95799400,4377.33
2014-11-28,4378.32,4390.18,4353.60,4390.18,104492600,4390.18
2014-11-27,4375.42,4396.20,4374.58,4382.34,95289500,4382.34
2014-11-26,4382.88,4399.41,4364.59,4373.42,95096700,4373.42
2014-11-25,4369.31,4403.55,4361.18,4382.31,122591400,4382.31
2014-11-24,4355.97,4400.34,4348.83,4368.44,117173100,4368.44
2014-11-21,4245.65,4356.11,4240.19,4347.23,197869900,4347.23
2014-11-20,4264.61,4264.73,4201.47,4234.21,110207200,4234.21
2014-11-19,4263.33,4289.17,4251.04,4266.19,83273700,4266.19
2014-11-18,4230.41,4267.66,4223.32,4262.38,101914700,4262.38
2014-11-17,4169.61,4239.11,4166.40,4226.10,95508800,4226.10
2014-11-14,4208.11,4208.13,4164.79,4202.46,109621000,4202.46
2014-11-13,4203.67,4220.74,4153.17,4187.95,131579800,4187.95
2014-11-12,4232.34,4242.62,4175.29,4179.88,122989000,4179.88
2014-11-11,4227.12,4252.92,4223.68,4244.10,99662200,4244.10
2014-11-10,4184.18,4224.83,4174.98,4222.82,123847500,4222.82
2014-11-07,4238.87,4239.56,4161.15,4189.89,144094600,4189.89
2014-11-06,4193.48,4275.30,4180.32,4227.68,163811600,4227.68
2014-11-05,4163.51,4214.35,4145.61,4208.42,126747900,4208.42
2014-11-04,4177.20,4208.52,4118.50,4130.19,142148700,4130.19
2014-11-03,4225.81,4238.46,4185.41,4194.03,123590300,4194.03
2014-10-31,4213.47,4246.93,4181.96,4233.09,182457000,4233.09
2014-10-30,4138.08,4151.11,4051.86,4141.24,248771100,4141.24
2014-10-29,4126.97,4134.83,4106.14,4110.64,135705400,4110.64
2014-10-28,4107.57,4127.87,4098.74,4112.67,134538100,4112.67
2014-10-27,4170.84,4171.53,4065.93,4096.74,126568700,4096.74
2014-10-24,4137.92,4153.07,4119.27,4128.90,116217700,4128.90
2014-10-23,4086.02,4166.46,4047.32,4157.68,162948200,4157.68
2014-10-22,4090.94,4110.48,4064.08,4105.09,142186700,4105.09
2014-10-21,3968.79,4081.73,3965.46,4081.24,159668100,4081.24
2014-10-20,4023.76,4030.15,3962.06,3991.24,143988900,3991.24
2014-10-17,3934.19,4040.70,3916.80,4033.18,230358700,4033.18
2014-10-16,3968.41,3987.14,3789.11,3918.62,304167300,3918.62
2014-10-15,4090.48,4096.58,3933.16,3939.72,225462800,3939.72
2014-10-14,4053.08,4097.90,4012.82,4088.25,157157300,4088.25
2014-10-13,4033.74,4104.00,4030.57,4078.70,136272000,4078.70
2014-10-10,4114.52,4125.13,4065.50,4073.71,213912600,4073.71
2014-10-09,4222.98,4222.98,4123.18,4141.45,191315500,4141.45
2014-10-08,4198.02,4213.11,4153.68,4168.12,145706200,4168.12
2014-10-07,4277.41,4277.41,4208.66,4209.14,140455300,4209.14
2014-10-06,4317.92,4319.31,4279.49,4286.52,103757200,4286.52
2014-10-03,4280.22,4297.41,4260.63,4281.74,105832200,4281.74
2014-10-02,4361.83,4371.06,4242.67,4242.67,168748300,4242.67
2014-10-01,4400.61,4427.76,4354.14,4365.27,150171900,4365.27
2014-09-30,4375.38,4435.07,4369.26,4416.24,126214700,4416.24
2014-09-29,4389.83,4401.07,4334.01,4358.07,84697000,4358.07
2014-09-26,4361.37,4411.99,4340.63,4394.75,96004000,4394.75
2014-09-25,4413.64,4430.50,4346.71,4355.28,118481600,4355.28
2014-09-24,4364.00,4416.63,4347.05,4413.72,98862200,4413.72
2014-09-23,4430.30,4430.78,4351.30,4359.35,110550700,4359.35
2014-09-22,4446.91,4464.31,4434.58,4442.55,86943400,4442.55
2014-09-19,4491.54,4492.39,4451.91,4461.22,158927900,4461.22
2014-09-18,4440.33,4470.48,4435.66,4464.70,104375600,4464.70
2014-09-17,4432.65,4444.83,4421.94,4431.41,103391900,4431.41
2014-09-16,4426.15,4426.15,4391.08,4409.15,86246100,4409.15
2014-09-15,4425.63,4440.92,4418.73,4428.63,77011900,4428.63
2014-09-12,4449.68,4452.31,4419.44,4441.70,77012200,4441.70
2014-09-11,4463.00,4466.15,4411.07,4440.90,90346100,4440.90
2014-09-10,4442.69,4459.78,4434.93,4450.79,80385100,4450.79
2014-09-09,4465.10,4482.91,4446.04,4452.37,94413900,4452.37
2014-09-08,4484.40,4489.02,4463.79,4474.93,84582900,4474.93
2014-09-05,4492.91,4498.16,4470.20,4486.49,105969500,4486.49
2014-09-04,4409.16,4509.58,4401.25,4494.94,152520000,4494.94
2014-09-03,4394.66,4443.53,4394.07,4421.87,119605200,4421.87
2014-09-02,4389.40,4403.22,4373.32,4378.33,88312100,4378.33
2014-09-01,4383.62,4391.08,4358.26,4379.73,71668900,4379.73
2014-08-29,4380.61,4393.60,4337.13,4381.04,102400900,4381.04
2014-08-28,4385.71,4393.58,4352.93,4366.04,110098700,4366.04
2014-08-27,4384.53,4401.52,4379.80,4395.26,88620000,4395.26
2014-08-26,4336.29,4395.94,4333.12,4393.41,102347700,4393.41
2014-08-25,4299.50,4342.11,4286.61,4342.11,66624700,4342.11
2014-08-22,4291.06,4291.17,4233.15,4252.80,88085100,4252.80
2014-08-21,4247.32,4292.93,4231.66,4292.93,89019500,4292.93
2014-08-20,4250.28,4254.84,4216.96,4240.79,70065700,4240.79
2014-08-19,4243.83,4258.83,4235.28,4254.45,65903800,4254.45
2014-08-18,4227.88,4241.86,4211.38,4230.65,73943500,4230.65
2014-08-15,4216.90,4256.34,4168.08,4174.36,110744200,4174.36
2014-08-14,4176.93,4217.39,4166.18,4205.43,88592900,4205.43
2014-08-13,4187.46,4204.38,4178.79,4194.79,96498300,4194.79
2014-08-12,4188.05,4193.15,4150.90,4162.16,93578700,4162.16
2014-08-11,4182.75,4206.27,4165.35,4197.70,97124600,4197.70
2014-08-08,4114.09,4165.26,4109.31,4147.81,124099100,4147.81
2014-08-07,4209.61,4209.61,4146.27,4149.83,135520200,4149.83
